ID,tobacco_type,response
179,cigar,.S
179,cigarette,.S
179,e-cigarette,0
179,heated tobacco,.S
179,hookah,.S
179,smokeless tobacco,.S
181,cigar,.S
181,cigarette,.S
181,e-cigarette,.S
181,heated tobacco,.S
181,hookah,.S
181,smokeless tobacco,.S
183,cigar,.S
183,cigarette,.S
183,e-cigarette,.S
183,heated tobacco,.S
183,hookah,.S
183,smokeless tobacco,.S
184,cigar,.S
184,cigarette,.S
184,e-cigarette,2
184,heated tobacco,.S
184,hookah,.S
184,smokeless tobacco,.S
185,cigar,.S
185,cigarette,.S
185,e-cigarette,.S
185,heated tobacco,.S
185,hookah,.S
185,smokeless tobacco,.S
186,cigar,.S
186,cigarette,.S
186,e-cigarette,0
186,heated tobacco,.S
186,hookah,.S
186,smokeless tobacco,.S
187,cigar,.S
187,cigarette,0
187,e-cigarette,0
187,heated tobacco,.S
187,hookah,.S
187,smokeless tobacco,.S
191,cigar,.S
191,cigarette,0
191,e-cigarette,0
191,heated tobacco,.S
191,hookah,.S
191,smokeless tobacco,.S
192,cigar,.S
192,cigarette,.S
192,e-cigarette,0
192,heated tobacco,.S
192,hookah,.S
192,smokeless tobacco,.S
193,cigar,.S
193,cigarette,.S
193,e-cigarette,0
193,heated tobacco,.S
193,hookah,.S
193,smokeless tobacco,.S
196,cigar,.S
196,cigarette,.S
196,e-cigarette,.S
196,heated tobacco,.S
196,hookah,.S
196,smokeless tobacco,.S
197,cigar,.S
197,cigarette,.S
197,e-cigarette,.S
197,heated tobacco,.S
197,hookah,.S
197,smokeless tobacco,.S
198,cigar,.S
198,cigarette,.S
198,e-cigarette,.S
198,heated tobacco,.S
198,hookah,.S
198,smokeless tobacco,.S
199,cigar,.S
199,cigarette,.S
199,e-cigarette,.S
199,heated tobacco,.S
199,hookah,.S
199,smokeless tobacco,.S
200,cigar,.S
200,cigarette,.S
200,e-cigarette,.S
200,heated tobacco,.S
200,hookah,.S
200,smokeless tobacco,.S
201,cigar,.S
201,cigarette,.S
201,e-cigarette,.S
201,heated tobacco,0
201,hookah,.S
201,smokeless tobacco,.S
202,cigar,.S
202,cigarette,.S
202,e-cigarette,12
202,heated tobacco,.S
202,hookah,.S
202,smokeless tobacco,8
204,cigar,.S
204,cigarette,.S
204,e-cigarette,.S
204,heated tobacco,.S
204,hookah,.S
204,smokeless tobacco,.S
205,cigar,.S
205,cigarette,.S
205,e-cigarette,.S
205,heated tobacco,.S
205,hookah,.S
205,smokeless tobacco,.S
207,cigar,.S
207,cigarette,.S
207,e-cigarette,.S
207,heated tobacco,.S
207,hookah,.S
207,smokeless tobacco,.S
208,cigar,.S
208,cigarette,.S
208,e-cigarette,.S
208,heated tobacco,.S
208,hookah,.S
208,smokeless tobacco,.S
209,cigar,.S
209,cigarette,.S
209,e-cigarette,.S
209,heated tobacco,.S
209,hookah,.S
209,smokeless tobacco,.S
210,cigar,.S
210,cigarette,.S
210,e-cigarette,.S
210,heated tobacco,.S
210,hookah,.S
210,smokeless tobacco,.S
212,cigar,.S
212,cigarette,0
212,e-cigarette,.S
212,heated tobacco,.S
212,hookah,.S
212,smokeless tobacco,.S
213,cigar,.S
213,cigarette,.S
213,e-cigarette,.S
213,heated tobacco,.S
213,hookah,.S
213,smokeless tobacco,.S
215,cigar,.S
215,cigarette,.S
215,e-cigarette,.S
215,heated tobacco,.S
