ID,tobacco_type,response
221,cigarette,2
221,e-cigarette,2
221,heated tobacco,2
221,hookah,2
221,smokeless tobacco,2
223,cigar,2
223,cigarette,2
223,e-cigarette,2
223,heated tobacco,2
223,hookah,2
223,smokeless tobacco,2
224,cigar,2
224,cigarette,2
224,e-cigarette,2
224,heated tobacco,2
224,hookah,2
224,smokeless tobacco,2
226,cigar,2
226,cigarette,2
226,e-cigarette,2
226,heated tobacco,2
226,hookah,2
226,smokeless tobacco,2
227,cigar,2
227,cigarette,2
227,e-cigarette,2
227,heated tobacco,2
227,hookah,2
227,smokeless tobacco,2
228,cigar,2
228,cigarette,2
228,e-cigarette,2
228,heated tobacco,2
228,hookah,2
228,smokeless tobacco,2
229,cigar,2
229,cigarette,2
229,e-cigarette,2
229,heated tobacco,2
229,hookah,2
229,smokeless tobacco,2
232,cigar,2
232,cigarette,2
232,e-cigarette,2
232,heated tobacco,2
232,hookah,2
232,smokeless tobacco,2
234,cigar,2
234,cigarette,2
234,e-cigarette,2
234,heated tobacco,2
234,hookah,2
234,smokeless tobacco,2
235,cigar,2
235,cigarette,2
235,e-cigarette,1
235,heated tobacco,2
235,hookah,2
235,smokeless tobacco,2
236,cigar,1
236,cigarette,2
236,e-cigarette,1
236,heated tobacco,2
236,hookah,2
236,smokeless tobacco,1
239,cigar,2
239,cigarette,1
239,e-cigarette,1
239,heated tobacco,2
239,hookah,2
239,smokeless tobacco,1
240,cigar,2
240,cigarette,1
240,e-cigarette,2
240,heated tobacco,2
240,hookah,2
240,smokeless tobacco,2
242,cigar,2
242,cigarette,2
242,e-cigarette,1
242,heated tobacco,3
242,hookah,2
242,smokeless tobacco,2
243,cigar,2
243,cigarette,1
243,e-cigarette,1
243,heated tobacco,2
243,hookah,2
243,smokeless tobacco,2
244,cigar,2
244,cigarette,2
244,e-cigarette,1
244,heated tobacco,2
244,hookah,2
244,smokeless tobacco,2
247,cigar,2
247,cigarette,2
247,e-cigarette,1
247,heated tobacco,3
247,hookah,2
247,smokeless tobacco,2
248,cigar,2
248,cigarette,2
248,e-cigarette,1
248,heated tobacco,2
248,hookah,2
248,smokeless tobacco,1
250,cigar,2
250,cigarette,2
250,e-cigarette,1
250,heated tobacco,2
250,hookah,2
250,smokeless tobacco,2
251,cigar,2
251,cigarette,2
251,e-cigarette,2
251,heated tobacco,2
251,hookah,2
251,smokeless tobacco,2
252,cigar,2
252,cigarette,2
252,e-cigarette,2
252,heated tobacco,2
252,hookah,2
252,smokeless tobacco,2
254,cigar,2
254,cigarette,2
254,e-cigarette,1
254,heated tobacco,2
254,hookah,2
254,smokeless tobacco,2
255,cigar,2
255,cigarette,1
255,e-cigarette,1
255,heated tobacco,2
255,hookah,2
255,smokeless tobacco,1
256,cigar,2
256,cigarette,2
256,e-cigarette,1
256,heated tobacco,2
256,hookah,2
256,smokeless tobacco,2
259,cigar,2
259,cigarette,2
259,e-cigarette,2
259,heated tobacco,2
259,hookah,2
259,smokeless tobacco,2
263,cigar,1
263,cigarette,1
263,e-cigarette,1
263,heated tobacco,2
263,hookah,2
263,smokeless tobacco,1
271,cigar,2
271,cigarette,2
271,e-cigarette,2
271,heated tobacco,2
271,hookah,2
271,smokeless tobacco,2
279,cigar,2
279,cigarette,2
279,e-cigarette,2
279,heated tobacco,2
279,hookah,2
279,smokeless tobacco,2
283,cigar,1
283,cigarette,1
283,e-cigarette,1
283,heated tobacco,2
283,hookah,2
283,smokeless tobacco,2
286,cigar,2
286,cigarette,2
286,e-cigarette,2
286,heated tobacco,2
286,hookah,2
286,smokeless tobacco,2
287,cigar,2
287,cigarette,2
287,e-cigarette,2
287,heated tobacco,2
287,hookah,2
287,smokeless tobacco,2
291,cigar,2
291,cigarette,2
291,e-cigarette,1
291,heated tobacco,2
291,hookah,2
291,smokeless tobacco,2
298,cigar,2
298,cigarette,2
298,e-cigarette,2
298,heated tobacco,3
298,hookah,2
298,smokeless tobacco,2
306,cigar,2
306,cigarette,2
306,e-cigarette,2
306,heated tobacco,2
306,hookah,2
306,smokeless tobacco,1
314,cigar,2
314,cigarette,2
314,e-cigarette,1
314,heated tobacco,2
314,hookah,2
314,smokeless tobacco,2
318,cigar,1
318,cigarette,1
318,e-cigarette,1
318,heated tobacco,3
318,hookah,2
318,smokeless tobacco,1
322,cigar,2
322,cigarette,2
322,e-cigarette,1
322,heated tobacco,2
322,hookah,2
322,smokeless tobacco,2
326,cigar,2
326,cigarette,2
326,e-cigarette,1
326,heated tobacco,2
326,hookah,2
326,smokeless tobacco,2
330,cigar,1
330,cigarette,1
330,e-cigarette,1
330,heated tobacco,2
330,hookah,2
330,smokeless tobacco,2
334,cigar,1
334,cigarette,1
334,e-cigarette,1
334,heated tobacco,2
334,hookah,2
334,smokeless tobacco,1
338,cigar,2
338,cigarette,2
338,e-cigarette,2
338,heated tobacco,2
338,hookah,2
338,smokeless tobacco,2
342,cigar,1
342,cigarette,2
342,e-cigarette,1
342,heated tobacco,2
342,hookah,2
342,smokeless tobacco,1
346,cigar,2
346,cigarette,2
346,e-cigarette,2
346,heated tobacco,2
346,hookah,2
346,smokeless tobacco,2
350,cigar,2
350,cigarette,2
350,e-cigarette,1
350,heated tobacco,2
350,hookah,2
350,smokeless tobacco,2
354,cigar,2
354,cigarette,2
354,e-cigarette,2
354,heated tobacco,3
354,hookah,2
354,smokeless tobacco,2
358,cigar,2
358,cigarette,1
358,e-cigarette,1
358,heated tobacco,2
358,hookah,2
358,smokeless tobacco,2
362,cigar,1
362,cigarette,1
362,e-cigarette,1
362,heated tobacco,2
362,hookah,2
362,smokeless tobacco,1
363,cigar,2
363,cigarette,1
363,e-cigarette,1
363,heated tobacco,2
363,hookah,2
363,smokeless tobacco,2
364,cigar,2
364,cigarette,1
364,e-cigarette,1
364,heated tobacco,2
364,hookah,2
364,smokeless tobacco,2
365,cigar,2
365,cigarette,2
365,e-cigarette,2
365,heated tobacco,2
365,hookah,2
365,smokeless tobacco,2
366,cigar,1
366,cigarette,1
366,e-cigarette,1
366,heated tobacco,2
366,hookah,1
366,smokeless tobacco,1
367,cigar,2
367,cigarette,2
367,e-cigarette,2
367,heated tobacco,2
367,hookah,2
367,smokeless tobacco,2
369,cigar,2
369,cigarette,2
369,e-cigarette,2
369,heated tobacco,2
369,hookah,2
369,smokeless tobacco,2
370,cigar,2
370,cigarette,2
370,e-cigarette,2
370,heated tobacco,2
370,hookah,2
370,smokeless tobacco,2
371,cigar,2
371,cigarette,2
371,e-cigarette,2
371,heated tobacco,2
371,hookah,2
371,smokeless tobacco,2
372,cigar,2
372,cigarette,2
372,e-cigarette,2
372,heated tobacco,2
372,hookah,2
372,smokeless tobacco,2
373,cigar,1
373,cigarette,1
373,e-cigarette,1
373,heated tobacco,2
373,hookah,2
373,smokeless tobacco,1
374,cigar,2
374,cigarette,2
374,e-cigarette,1
374,heated tobacco,2
374,hookah,2
374,smokeless tobacco,2
375,cigar,1
375,cigarette,1
375,e-cigarette,1
375,heated tobacco,1
375,hookah,2
375,smokeless tobacco,1
377,cigar,2
377,cigarette,2
377,e-cigarette,2
377,heated tobacco,2
377,hookah,2
377,smokeless tobacco,2
378,cigar,2
378,cigarette,2
378,e-cigarette,2
378,heated tobacco,2
378,hookah,2
378,smokeless tobacco,2
379,cigar,1
379,cigarette,1
379,e-cigarette,1
379,heated tobacco,2
379,hookah,2
379,smokeless tobacco,2
380,cigar,1
380,cigarette,1
380,e-cigarette,1
380,heated tobacco,2
380,hookah,2
380,smokeless tobacco,1
381,cigar,2
381,cigarette,2
381,e-cigarette,2
381,heated tobacco,2
381,hookah,2
381,smokeless tobacco,2
382,cigar,2
382,cigarette,2
382,e-cigarette,1
382,heated tobacco,2
382,hookah,2
382,smokeless tobacco,2
383,cigar,1
383,cigarette,1
383,e-cigarette,1
383,heated tobacco,2
383,hookah,2
383,smokeless tobacco,2
385,cigar,1
385,cigarette,1
385,e-cigarette,1
385,heated tobacco,1
385,hookah,1
385,smokeless tobacco,1
386,cigar,2
386,cigarette,2
386,e-cigarette,2
386,heated tobacco,2
386,hookah,2
386,smokeless tobacco,2
387,cigar,2
387,cigarette,2
387,e-cigarette,2
387,heated tobacco,2
387,hookah,2
387,smokeless tobacco,2
389,cigar,2
389,cigarette,2
389,e-cigarette,2
389,heated tobacco,2
389,hookah,2
389,smokeless tobacco,2
390,cigar,1
390,cigarette,1
390,e-cigarette,1
390,heated tobacco,1
390,hookah,2
390,smokeless tobacco,2
391,cigar,2
391,cigarette,2
391,e-cigarette,1
391,heated tobacco,1
391,hookah,2
391,smokeless tobacco,2
393,cigar,2
393,cigarette,2
393,e-cigarette,2
393,heated tobacco,2
393,hookah,2
393,smokeless tobacco,2
394,cigar,2
394,cigarette,2
394,e-cigarette,2
394,heated tobacco,2
394,hookah,2
394,smokeless tobacco,2
395,cigar,2
395,cigarette,1
395,e-cigarette,2
395,heated tobacco,2
395,hookah,2
395,smokeless tobacco,2
397,cigar,2
397,cigarette,2
397,e-cigarette,2
397,heated tobacco,2
